Inflation,Month,Year,pmi,PartNo,Description,Quantity,Sales Price,Total Sales,Swaraj Engines Stock Price,M&M Stock Price,Escorts Kuboto Stock Price
7.59,1,2020,250,F8T01922,Brake Drum 1922,227,2582.57,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1879622,Brake Drum 9622,70,1679.08,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1879722,Brake Drum 9722,277,3926.91,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1869122,Brake Drum 9122,72,2918.49,59367,1125.0,532.9,630.0
7.59,1,2020,250,F3S00622,Brake Drum 622,220,338.78,59367,1125.0,532.9,630.0
7.59,1,2020,250,F5Z00120,Distence Pic Old 120,97,4587.01,59367,1125.0,532.9,630.0
7.59,1,2020,250,F5Z00112,Distence Pic Big 112,73,4124.75,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1880122,Rear Hub 122,507,1530.89,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1888822,Dummy Hub 822,155,2875.03,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8S00622,Rear Hub-622,64,576.86,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1880222,Rear HUB-222,86,1253.0,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8S01022,UB Hub 1022,55,969.7,59367,1125.0,532.9,630.0
7.59,1,2020,250,FTF01222,UB Hub 1222,244,3855.48,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1884622,Front Hub -622,63,3766.95,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8S00922,UB Hub 922,256,2039.5,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8S01322,Front HUB-1322,292,1003.65,59367,1125.0,532.9,630.0
7.59,1,2020,250,FTF01122,Hub 1122 MBP,269,1587.81,59367,1125.0,532.9,630.0
7.59,1,2020,250,FTF01022,Hub 1022 MBP,138,519.65,59367,1125.0,532.9,630.0
7.59,1,2020,250,FTF03022,Rear Dummy HUB-3022,31,4817.48,59367,1125.0,532.9,630.0
7.59,1,2020,250,FH302622,Front Hub 2622 MBP,94,3978.11,59367,1125.0,532.9,630.0
7.59,1,2020,250,FTT02722,HUB-2722,309,277.98,59367,1125.0,532.9,630.0
7.59,1,2020,250,F3H01322,ARB FRAME MOUNTING BKT,128,4028.51,59367,1125.0,532.9,630.0
7.59,1,2020,250,F2R00122,SGM BKT-122,286,3735.77,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8D01700,SGM BKT -1700,77,3844.65,59367,1125.0,532.9,630.0
7.59,1,2020,250,F-8D02722,SGM -2722,37,1257.71,59367,1125.0,532.9,630.0
7.59,1,2020,250,F8D01622,SGM -1622,147,2435.34,59367,1125.0,532.9,630.0
7.59,1,2020,250,F3H01122,ARB Axle M. BKt LH,161,3907.4,59367,1125.0,532.9,630.0
7.59,1,2020,250,F3H01222,ARB Axle M. BKt RH,135,676.72,59367,1125.0,532.9,630.0
7.59,1,2020,250,B3F15503,Fly Wheel-503,264,1674.33,59367,1125.0,532.9,630.0
7.59,1,2020,250,B9805502,Flywheel Neptune,193,784.45,59367,1125.0,532.9,630.0
7.59,1,2020,250,B2W02519,FIP Housing CB18,36,3022.21,59367,1125.0,532.9,630.0
7.59,1,2020,250,B2W01421,FIP Housing CB28,46,2189.49,59367,1125.0,532.9,630.0
7.59,1,2020,250,B2W01307,Fip Housing-1307,244,1147.37,59367,1125.0,532.9,630.0
7.59,1,2020,250,X1X00522,Thermostate Housing-522,290,2002.0,59367,1125.0,532.9,630.0
7.59,1,2020,250,X2H00622,T.G. Case,316,2973.55,59367,1125.0,532.9,630.0
7.59,1,2020,250,F7L09722,Rear Spring Bracket,244,3460.1,59367,1125.0,532.9,630.0
7.59,1,2020,250,F5F01822,AC Bracket -1822,173,3628.06,59367,1125.0,532.9,630.0
7.59,1,2020,250,F5F01722,AC Bracket -1722,181,1073.99,59367,1125.0,532.9,630.0
7.59,1,2020,250,F7Z05314,ATS BRACKET-5314,200,3050.85,59367,1125.0,532.9,630.0
7.59,1,2020,250,F7Z00122,ATS BRACKET-122,136,1412.26,59367,1125.0,532.9,630.0
7.59,1,2020,250,F7Z05414,ATS BRACKET-5414,329,928.01,59367,1125.0,532.9,630.0
7.59,1,2020,250,F7Z10314,ATS BRACKET 10314,276,3954.64,59367,1125.0,532.9,630.0
7.59,1,2020,250,X6E03422,Nodo Bracket-3422,297,287.6,59367,1125.0,532.9,630.0
7.59,1,2020,250,X6E03522,Nodo Bracket-3522,98,2846.84,59367,1125.0,532.9,630.0
7.59,1,2020,250,X6E05222,Nodo Bracket-5222,157,2842.33,59367,1125.0,532.9,630.0
7.59,1,2020,250,X6E05122,Nodo Bracket-5122,117,4065.66,59367,1125.0,532.9,630.0
7.59,1,2020,250,330123920,Tata Cup Box,36,1951.15,59367,1125.0,532.9,630.0
7.59,1,2020,250,P3301201020,ACE RDE Box casting,170,1016.05,59367,1125.0,532.9,630.0
7.59,1,2020,250,330151420,Mega Ace,274,1356.68,59367,1125.0,532.9,630.0
7.59,1,2020,250,330134120,M&M 510,44,4429.31,59367,1125.0,532.9,630.0
7.59,1,2020,250,330134220V1,M&M 630,210,1004.51,59367,1125.0,532.9,630.0
7.59,1,2020,250,330931720,Cover Plate,457,5034.92,59367,1125.0,532.9,630.0
7.59,1,2020,250,502207C01,Side Cover C01,311,2573.43,59367,1125.0,532.9,630.0
7.59,1,2020,250,502207E 01,Side Cover Casting E01 (HFB 82),184,929.62,59367,1125.0,532.9,630.0
7.59,1,2020,250,50170115,Valve Housing HFB 64,272,1960.97,59367,1125.0,532.9,630.0
7.59,1,2020,250,501707C06,Valve Housing casting,106,3145.27,59367,1125.0,532.9,630.0
7.59,1,2020,250,501707C03,Valve Housing casting-C03,244,4710.44,59367,1125.0,532.9,630.0
7.59,1,2020,250,501707E 01,Valve housing casting  E01 (HFB82),253,1014.71,59367,1125.0,532.9,630.0
7.59,1,2020,250,500127C06,LH Housing C06,136,1393.12,59367,1125.0,532.9,630.0
7.59,1,2020,250,500127C14,LH Housing C14,250,4579.76,59367,1125.0,532.9,630.0
7.59,1,2020,250,50012110,LH Housing 64,33,1553.49,59367,1125.0,532.9,630.0
7.59,1,2020,250,500127E03,LH Housing -82,182,525.51,59367,1125.0,532.9,630.0
7.59,1,2020,250,666,BB-106,152,747.85,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1826722,B.D. 6722,47,1129.9,59367,1125.0,532.9,630.0
7.59,1,2020,250,257542303705,TATA BRAKE DRUM 3705,271,1682.79,59367,1125.0,532.9,630.0
7.59,1,2020,250,263242303723,TATA BRAKE DRUM 3723,70,4012.85,59367,1125.0,532.9,630.0
7.59,1,2020,250,F1875722,Brake Drum -5722,142,1400.51,59367,1125.0,532.9,630.0
7.59,1,2020,250,277642303701,TATA BRAKE DRUM 3701,131,1521.98,59367,1125.0,532.9,630.0
7.59,1,2020,250,5.01442E+11,Brake Drum 3702,92,4169.33,59367,1125.0,532.9,630.0
7.59,1,2020,250,0031002662AC,Rear Cover-6662,85,2189.67,59367,1125.0,532.9,630.0
7.59,1,2020,250,10006813CC,Rear Cover-6813,329,2645.86,59367,1125.0,532.9,630.0
7.59,1,2020,250,300053048A,Sviwel Housing LH,346,2093.94,59367,1125.0,532.9,630.0
7.59,1,2020,250,300053049A,Sviwel Housing RH,238,3124.17,59367,1125.0,532.9,630.0
7.59,1,2020,250,300130461B,Housing Input Pinion,178,3399.9,59367,1125.0,532.9,630.0
7.59,1,2020,250,300130468A,Cover steering cylinder mounting,226,4651.13,59367,1125.0,532.9,630.0
7.59,1,2020,250,300130474A,Housing hub stub axle,149,3009.28,59367,1125.0,532.9,630.0
7.59,1,2020,250,300145985A,Housing Axle King Shaft,154,2146.71,59367,1125.0,532.9,630.0
7.59,1,2020,250,10039106AB,Front Axle Housing LH-106 AB,55,1514.61,59367,1125.0,532.9,630.0
7.59,1,2020,250,10039104AC,Front Axle Housing RH-104 AC,369,2335.4,59367,1125.0,532.9,630.0
7.59,1,2020,250,10039098AB,"Front Axle Housing RH  (10039098AB)
",101,2421.53,59367,1125.0,532.9,630.0
7.59,1,2020,250,300422630A,Housing Front Axle Cover LH-630,454,4307.24,59367,1125.0,532.9,630.0
7.59,1,2020,250,300422616A,Housing Front Axle Cover RH-640,240,2782.11,59367,1125.0,532.9,630.0
7.59,1,2020,250,300137705B,Housing Front Axle Cover LH-705,321,2635.57,59367,1125.0,532.9,630.0
7.59,1,2020,250,300130478B,Housing Front Axle Cover RH-478,263,4153.45,59367,1125.0,532.9,630.0
7.59,1,2020,250,10051257CB,Front Axle Housing,127,2871.9,59367,1125.0,532.9,630.0
7.59,1,2020,250,1A8252-42110,Hydarulic Housing,109,382.23,59367,1125.0,532.9,630.0
7.59,1,2020,250,10071462AG,Integral Front Axle Bkt(Casting),119,4066.58,59367,1125.0,532.9,630.0
7.59,1,2020,250,5A8252-24701,COVER FRONT,192,2584.71,59367,1125.0,532.9,630.0
7.59,1,2020,250,5A8252-24240,COVER REAR,72,913.73,59367,1125.0,532.9,630.0
7.59,1,2020,250,1A8252-43231-1,HEAD CYLINDER,221,2993.45,59367,1125.0,532.9,630.0
7.59,1,2020,250,1A8550-43210-1,HEAD CYLINDER-210,502,2997.93,59367,1125.0,532.9,630.0
7.59,1,2020,250,1A8252-47710,HINGE SUPPORT-8252,358,2636.94,59367,1125.0,532.9,630.0
7.59,1,2020,250,101281426000,Brake Drum -6000,328,3366.84,59367,1125.0,532.9,630.0
7.59,1,2020,250,101281426100,Brake Drum -6100,98,1243.67,59367,1125.0,532.9,630.0
7.59,1,2020,250,1SK-45870,HUB Tunring,250,3240.91,59367,1125.0,532.9,630.0
7.59,1,2020,250,(SE01B00G00037),Front Wheel hub Star Glow,245,381.13,59367,1125.0,532.9,630.0
7.59,1,2020,250,4256730,HUB-118,115,1028.1,59367,1125.0,532.9,630.0
7.59,1,2020,250,4252073,HUB-316,181,3129.54,59367,1125.0,532.9,630.0
7.59,1,2020,250,4252752,HUB-454,207,4029.07,59367,1125.0,532.9,630.0
7.59,1,2020,250,4255058,HUB-770,70,1184.44,59367,1125.0,532.9,630.0
7.59,1,2020,250,10055248BB,ASSY FRONT AXLE HOUSING PADDY SPECIAL,231,3837.31,59367,1125.0,532.9,630.0
7.59,1,2020,250,1A8252-13760-1,"GEARBOX, FRONT L ECN",83,893.88,59367,1125.0,532.9,630.0
7.59,1,2020,250,1A8252-13770-1,"GEARBOX, FRONT R ECN",158,1204.24,59367,1125.0,532.9,630.0
7.59,1,2020,250,300167935A,Center Beam Housing -584/935,133,1155.27,59367,1125.0,532.9,630.0
7.59,1,2020,250,XBY00222,Bracket Engine,50,1516.94,59367,1125.0,532.9,630.0
7.59,1,2020,250,300137702C,CENTER BEAM HSG - Casting,359,3431.73,59367,1125.0,532.9,630.0
7.59,1,2020,250,M31149S002,Fron Wheel Hub Champ,198,2945.64,59367,1125.0,532.9,630.0
7.59,1,2020,250,X1821622,Housing Oil Cooler,181,1952.52,59367,1125.0,532.9,630.0
7.59,1,2020,250,B3F01301,Flywheel Boss,222,122.83,59367,1125.0,532.9,630.0
7.59,1,2020,250,F4W03322,FSFB Bracket - 3322,175,3389.73,59367,1125.0,532.9,630.0
7.59,1,2020,250,F4W03222,FSFB Bracket - 3222,218,4705.41,59367,1125.0,532.9,630.0
7.59,1,2020,250,X6E04822,NODO BRACKET -ECO-4822,185,3111.05,59367,1125.0,532.9,630.0
7.59,1,2020,250,F6A07422,Spring bracket-7422,233,4316.74,59367,1125.0,532.9,630.0
7.59,1,2020,250,7125600,Wheel - Drive,66,293.86,59367,1125.0,532.9,630.0
7.59,1,2020,250,8829617,Dual adapter hub,89,1700.6,59367,1125.0,532.9,630.0
7.59,1,2020,250,29324690,Disc Actuating,62,4323.76,59367,1125.0,532.9,630.0
7.59,1,2020,250,IC0305854,EICHER BRAKE DRUM,65,3191.76,59367,1125.0,532.9,630.0
7.59,1,2020,250,277642303714,Brake Drum 3714,121,1650.83,59367,1125.0,532.9,630.0
7.59,1,2020,250,277642303707,Brake Drum 3707,179,1684.28,59367,1125.0,532.9,630.0
7.59,1,2020,250,66666,Trunnion Braket,204,1786.21,59367,1125.0,532.9,630.0
7.59,1,2020,250,1528137,Chart Casting Wheel -8137,80,1729.32,59367,1125.0,532.9,630.0
7.59,1,2020,250,1528138,Chart Casting Wheel -8138,116,5009.56,59367,1125.0,532.9,630.0
7.59,1,2020,250,516266681,Chart Casting Wheel -6681,37,2781.88,59367,1125.0,532.9,630.0
7.59,1,2020,250,8504786,Casting drive wheel,41,3234.5,59367,1125.0,532.9,630.0
7.59,1,2020,250,1524926,Hub Casting ,117,4692.91,59367,1125.0,532.9,630.0
7.59,1,2020,250,8827231,Drive wheel -casting,368,345.48,59367,1125.0,532.9,630.0
7.59,1,2020,250,006050988V01,Fly Wheel 67 HP,360,3441.59,59367,1125.0,532.9,630.0
7.59,1,2020,250,907125600,Wheel - Drive,103,2957.2,59367,1125.0,532.9,630.0
7.59,1,2020,250,60000-01/018,"Brake Drum , 16.5X7, G3000b",196,1422.21,59367,1125.0,532.9,630.0
7.59,1,2020,250,X1505222,Pulley-5222,159,1296.8,59367,1125.0,532.9,630.0
7.59,1,2020,250,X1505122,Pulley-5122,141,4777.05,59367,1125.0,532.9,630.0
7.59,1,2020,250,006525415B01,Axle Carr LH,113,3460.94,59367,1125.0,532.9,630.0
7.59,1,2020,250,006525417B01,Axle Carr RH,165,128.56,59367,1125.0,532.9,630.0
7.59,1,2020,250,B3F16003,Fly Wheel -16003,212,4145.26,59367,1125.0,532.9,630.0
7.59,1,2020,250,5739980670,HYVA Bracket 670,293,3709.01,59367,1125.0,532.9,630.0
7.59,1,2020,250,3318C00701,Flywheel-701,149,2584.73,59367,1125.0,532.9,630.0
7.59,1,2020,250,H01XX417961701,Drive wheel,438,1652.41,59367,1125.0,532.9,630.0
7.59,1,2020,250,X6E04722,NODO BRACKET-ECO-4722,281,170.67,59367,1125.0,532.9,630.0
7.59,1,2020,250,FTF03022,Rear Dummy HUB-3222,197,2797.77,59367,1125.0,532.9,630.0
7.59,1,2020,250,F5N04822,Bracket -Engine Mounting-4822,301,1972.11,59367,1125.0,532.9,630.0
7.59,1,2020,250,A 400 322 05 01,Spring bracket -501,277,976.7,59367,1125.0,532.9,630.0
7.59,1,2020,250,A 400 322 00 01,Spring bracket -0001,310,4095.46,59367,1125.0,532.9,630.0
7.59,1,2020,250,A 400 322 00 06,Spring bracket -0006,101,1451.45,59367,1125.0,532.9,630.0
7.59,1,2020,250,A4008911020,Bracket Bearing 1020,145,2686.33,59367,1125.0,532.9,630.0
7.59,1,2020,250,A4003220101,Spring bracket -0101,97,3392.89,59367,1125.0,532.9,630.0
7.59,1,2020,250,A400 891 09 20,Bracket Bearing 920,233,3723.35,59367,1125.0,532.9,630.0
6.58,2,2020,243,0503BA0290N-RK,ALFA HUB,64,2376.71,64937,1230.0,566.0,798.95
6.58,2,2020,243,0503BA0290N,Front Wheel Hub,333,3856.03,64937,1230.0,566.0,798.95
6.58,2,2020,243,0502BA1050N,Alfa Rear Wheel Hub LH,190,1292.41,64937,1230.0,566.0,798.95
6.58,2,2020,243,0502BA1060N,Alfa Rear Wheel Hub RH,109,4620.75,64937,1230.0,566.0,798.95
6.58,2,2020,243,0602AAB00260N,Brake Drum ALFA,161,2617.18,64937,1230.0,566.0,798.95
6.58,2,2020,243,0601AMJ00030N,Brake Drum -TREO,128,529.8,64937,1230.0,566.0,798.95
6.58,2,2020,243,0601AAA00320N,B.D. E-Riksha,302,3837.1,64937,1230.0,566.0,798.95
6.58,2,2020,243,0601AED00170N,Brake Drum E-Rikshaw,302,1024.92,64937,1230.0,566.0,798.95
6.58,2,2020,243,0801AAA00960N,Clutch Housing LCC,89,490.41,64937,1230.0,566.0,798.95
6.58,2,2020,243,006017472B92,Fly Wheel 3DI,123,3750.0,64937,1230.0,566.0,798.95
6.58,2,2020,243,006029533V91,Fly Wheel 3DI E1H1,248,2852.16,64937,1230.0,566.0,798.95
6.58,2,2020,243,006028861V92,475/575 4DI-NCRPTO,38,1265.47,64937,1230.0,566.0,798.95
6.58,2,2020,243,006028860V91,475/575 4DI-CRPTO,325,2950.34,64937,1230.0,566.0,798.95
6.58,2,2020,243,006022009B91,Fly Wheel Swraj,304,873.69,64937,1230.0,566.0,798.95
6.58,2,2020,243,007903649B1,HUB(CRE),392,510.27,64937,1230.0,566.0,798.95
6.58,2,2020,243,4D00322,BOSS BRAKCET,31,247.48,64937,1230.0,566.0,798.95
6.58,2,2020,243,005551418R8,F.A.S. (BP),205,681.97,64937,1230.0,566.0,798.95
6.58,2,2020,243,F3S00100,Brake Drum 100,100,471.89,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8T00122,Brake Drum 122,197,2568.68,64937,1230.0,566.0,798.95
6.58,2,2020,243,F3S00222,Brake Drum 222,220,188.99,64937,1230.0,566.0,798.95
6.58,2,2020,243,F3S00422,Brake Drum 422,64,3972.68,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8T01222,Brake Drum 1222,96,1108.98,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8T02022,Brake Drum 2022,238,3114.41,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1860822,BD (B) 1860822 -EDM,280,1547.74,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1869022,BD F-1869022-EDM,122,3649.51,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8T01922,Brake Drum 1922,288,2412.04,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1879622,Brake Drum 9622,61,1684.28,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1879722,Brake Drum 9722,339,3371.5,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1869122,Brake Drum 9122,88,2716.65,64937,1230.0,566.0,798.95
6.58,2,2020,243,F3S00622,Brake Drum 622,266,296.83,64937,1230.0,566.0,798.95
6.58,2,2020,243,F5Z00120,Distence Pic Old 120,257,4049.62,64937,1230.0,566.0,798.95
6.58,2,2020,243,F5Z00112,Distence Pic Big 112,70,4382.31,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1880122,Rear Hub 122,271,1498.83,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1888822,Dummy Hub 822,157,2805.46,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8S00622,Rear Hub-622,90,559.76,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1880222,Rear HUB-222,55,1214.67,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8S01022,UB Hub 1022,45,964.16,64937,1230.0,566.0,798.95
6.58,2,2020,243,FTF01222,UB Hub 1222,144,3417.92,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1884622,Front Hub -622,59,3680.03,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8S00922,UB Hub 922,229,2132.33,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8S01322,Front HUB-1322,245,890.66,64937,1230.0,566.0,798.95
6.58,2,2020,243,FTF01122,Hub 1122 MBP,214,1533.11,64937,1230.0,566.0,798.95
6.58,2,2020,243,FTF01022,Hub 1022 MBP,221,465.9,64937,1230.0,566.0,798.95
6.58,2,2020,243,FTF03022,Rear Dummy HUB-3022,28,4452.44,64937,1230.0,566.0,798.95
6.58,2,2020,243,FH302622,Front Hub 2622 MBP,86,3977.22,64937,1230.0,566.0,798.95
6.58,2,2020,243,FTT02722,HUB-2722,378,247.95,64937,1230.0,566.0,798.95
6.58,2,2020,243,F3H01322,ARB FRAME MOUNTING BKT,142,3562.85,64937,1230.0,566.0,798.95
6.58,2,2020,243,F2R00122,SGM BKT-122,241,4096.92,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8D01700,SGM BKT -1700,54,3402.06,64937,1230.0,566.0,798.95
6.58,2,2020,243,F-8D02722,SGM -2722,54,1149.05,64937,1230.0,566.0,798.95
6.58,2,2020,243,F8D01622,SGM -1622,131,2022.52,64937,1230.0,566.0,798.95
6.58,2,2020,243,F3H01122,ARB Axle M. BKt LH,173,3262.78,64937,1230.0,566.0,798.95
6.58,2,2020,243,F3H01222,ARB Axle M. BKt RH,119,666.8,64937,1230.0,566.0,798.95
6.58,2,2020,243,B3F15503,Fly Wheel-503,229,1538.51,64937,1230.0,566.0,798.95
6.58,2,2020,243,B9805502,Flywheel Neptune,166,737.89,64937,1230.0,566.0,798.95
6.58,2,2020,243,B2W02519,FIP Housing CB18,45,2834.17,64937,1230.0,566.0,798.95
6.58,2,2020,243,B2W01421,FIP Housing CB28,61,2273.74,64937,1230.0,566.0,798.95
6.58,2,2020,243,B2W01307,Fip Housing-1307,270,1156.99,64937,1230.0,566.0,798.95
6.58,2,2020,243,X1X00522,Thermostate Housing-522,373,2003.12,64937,1230.0,566.0,798.95
6.58,2,2020,243,X2H00622,T.G. Case,224,2958.99,64937,1230.0,566.0,798.95
6.58,2,2020,243,F7L09722,Rear Spring Bracket,145,3235.4,64937,1230.0,566.0,798.95
6.58,2,2020,243,F5F01822,AC Bracket -1822,158,3188.04,64937,1230.0,566.0,798.95
6.58,2,2020,243,F5F01722,AC Bracket -1722,202,1077.11,64937,1230.0,566.0,798.95
6.58,2,2020,243,F7Z05314,ATS BRACKET-5314,246,3193.81,64937,1230.0,566.0,798.95
6.58,2,2020,243,F7Z00122,ATS BRACKET-122,116,1203.14,64937,1230.0,566.0,798.95
6.58,2,2020,243,F7Z05414,ATS BRACKET-5414,201,940.32,64937,1230.0,566.0,798.95
6.58,2,2020,243,F7Z10314,ATS BRACKET 10314,304,3584.7,64937,1230.0,566.0,798.95
6.58,2,2020,243,X6E03422,Nodo Bracket-3422,275,295.76,64937,1230.0,566.0,798.95
6.58,2,2020,243,X6E03522,Nodo Bracket-3522,59,2655.29,64937,1230.0,566.0,798.95
6.58,2,2020,243,X6E05222,Nodo Bracket-5222,84,2854.87,64937,1230.0,566.0,798.95
6.58,2,2020,243,X6E05122,Nodo Bracket-5122,160,3977.03,64937,1230.0,566.0,798.95
6.58,2,2020,243,330123920,Tata Cup Box,38,1828.09,64937,1230.0,566.0,798.95
6.58,2,2020,243,P3301201020,ACE RDE Box casting,235,1001.6,64937,1230.0,566.0,798.95
6.58,2,2020,243,330151420,Mega Ace,280,1500.36,64937,1230.0,566.0,798.95
6.58,2,2020,243,330134120,M&M 510,33,4525.61,64937,1230.0,566.0,798.95
6.58,2,2020,243,330134220V1,M&M 630,383,947.27,64937,1230.0,566.0,798.95
6.58,2,2020,243,330931720,Cover Plate,332,4470.66,64937,1230.0,566.0,798.95
6.58,2,2020,243,502207C01,Side Cover C01,346,2491.68,64937,1230.0,566.0,798.95
6.58,2,2020,243,502207E 01,Side Cover Casting E01 (HFB 82),125,955.12,64937,1230.0,566.0,798.95
6.58,2,2020,243,50170115,Valve Housing HFB 64,193,2002.49,64937,1230.0,566.0,798.95
6.58,2,2020,243,501707C06,Valve Housing casting,96,2628.76,64937,1230.0,566.0,798.95
6.58,2,2020,243,501707C03,Valve Housing casting-C03,195,4157.97,64937,1230.0,566.0,798.95
6.58,2,2020,243,501707E 01,Valve housing casting  E01 (HFB82),213,843.4,64937,1230.0,566.0,798.95
6.58,2,2020,243,500127C06,LH Housing C06,143,1396.11,64937,1230.0,566.0,798.95
6.58,2,2020,243,500127C14,LH Housing C14,299,4296.73,64937,1230.0,566.0,798.95
6.58,2,2020,243,50012110,LH Housing 64,80,1290.62,64937,1230.0,566.0,798.95
6.58,2,2020,243,500127E03,LH Housing -82,286,487.14,64937,1230.0,566.0,798.95
6.58,2,2020,243,666,BB-106,220,731.06,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1826722,B.D. 6722,48,1127.6,64937,1230.0,566.0,798.95
6.58,2,2020,243,257542303705,TATA BRAKE DRUM 3705,588,1779.11,64937,1230.0,566.0,798.95
6.58,2,2020,243,263242303723,TATA BRAKE DRUM 3723,56,3317.37,64937,1230.0,566.0,798.95
6.58,2,2020,243,F1875722,Brake Drum -5722,144,1381.12,64937,1230.0,566.0,798.95
6.58,2,2020,243,277642303701,TATA BRAKE DRUM 3701,147,1613.72,64937,1230.0,566.0,798.95
6.58,2,2020,243,5.01442E+11,Brake Drum 3702,65,4196.65,64937,1230.0,566.0,798.95
6.58,2,2020,243,0031002662AC,Rear Cover-6662,89,2383.98,64937,1230.0,566.0,798.95
6.58,2,2020,243,10006813CC,Rear Cover-6813,240,2430.51,64937,1230.0,566.0,798.95
6.58,2,2020,243,300053048A,Sviwel Housing LH,350,2014.19,64937,1230.0,566.0,798.95
6.58,2,2020,243,300053049A,Sviwel Housing RH,170,3081.96,64937,1230.0,566.0,798.95
6.58,2,2020,243,300130461B,Housing Input Pinion,158,2829.61,64937,1230.0,566.0,798.95
6.58,2,2020,243,300130468A,Cover steering cylinder mounting,251,4040.85,64937,1230.0,566.0,798.95
6.58,2,2020,243,300130474A,Housing hub stub axle,205,2568.08,64937,1230.0,566.0,798.95
