PartNo,Description,Year,Month,Quantity,Sales Price
0503BA0290N-RK,ALFA HUB,2023,8,67,1831.99
0503BA0290N-RK,ALFA HUB,2023,9,88,2066.39
0503BA0290N-RK,ALFA HUB,2023,10,101,2303.51
0503BA0290N-RK,ALFA HUB,2023,11,53,2021.88
0503BA0290N-RK,ALFA HUB,2023,12,83,2314.35
0503BA0290N-RK,ALFA HUB,2024,1,102,2629.59
0503BA0290N-RK,ALFA HUB,2024,2,136,2836.1
0503BA0290N-RK,ALFA HUB,2024,3,128,3208.22
0503BA0290N-RK,ALFA HUB,2024,4,80,3441.88
0503BA0290N-RK,ALFA HUB,2024,5,141,3291.39
0503BA0290N-RK,ALFA HUB,2024,6,151,4020.66
0503BA0290N-RK,ALFA HUB,2024,7,97,3875.21
0503BA0290N-RK,ALFA HUB,2024,8,82,4166.61
0503BA0290N-RK,ALFA HUB,2024,9,136,4419.96
0503BA0290N-RK,ALFA HUB,2024,10,101,4660.63
0503BA0290N-RK,ALFA HUB,2024,11,115,5075.32
0503BA0290N-RK,ALFA HUB,2024,12,143,5542.3
0503BA0290N,Front Wheel Hub,2020,1,318,3536.35
0503BA0290N,Front Wheel Hub,2020,2,333,3856.03
0503BA0290N,Front Wheel Hub,2020,3,247,3155.21
0503BA0290N,Front Wheel Hub,2020,4,337,3382.39
0503BA0290N,Front Wheel Hub,2020,5,262,3451.58
0503BA0290N,Front Wheel Hub,2020,6,251,2707.92
0503BA0290N,Front Wheel Hub,2020,7,344,2901.47
0503BA0290N,Front Wheel Hub,2020,8,301,2915.32
0503BA0290N,Front Wheel Hub,2020,9,330,2732.44
0503BA0290N,Front Wheel Hub,2020,10,259,2589.09
0503BA0290N,Front Wheel Hub,2020,11,314,2404.62
0503BA0290N,Front Wheel Hub,2020,12,253,2121.98
0503BA0290N,Front Wheel Hub,2021,1,320,2175.22
0503BA0290N,Front Wheel Hub,2021,2,359,2132.15
0503BA0290N,Front Wheel Hub,2021,3,294,1947.51
0503BA0290N,Front Wheel Hub,2021,4,248,1926.35
0503BA0290N,Front Wheel Hub,2021,5,285,1804.34
0503BA0290N,Front Wheel Hub,2021,6,251,1648.27
0503BA0290N,Front Wheel Hub,2021,7,232,1645.1
0503BA0290N,Front Wheel Hub,2021,8,275,1553.37
0503BA0290N,Front Wheel Hub,2021,9,313,1451.33
0503BA0290N,Front Wheel Hub,2021,10,242,1240.17
0503BA0290N,Front Wheel Hub,2021,11,187,1264.63
0503BA0290N,Front Wheel Hub,2021,12,264,1118.75
0503BA0290N,Front Wheel Hub,2022,1,377,1169.66
0503BA0290N,Front Wheel Hub,2022,2,399,1435.28
0503BA0290N,Front Wheel Hub,2022,3,405,1470.22
0503BA0290N,Front Wheel Hub,2022,4,425,1469.53
0503BA0290N,Front Wheel Hub,2022,5,324,1550.44
0503BA0290N,Front Wheel Hub,2022,6,284,1650.47
0503BA0290N,Front Wheel Hub,2022,7,288,1567.44
0503BA0290N,Front Wheel Hub,2022,8,400,1759.84
0503BA0290N,Front Wheel Hub,2022,9,318,1668.75
0503BA0290N,Front Wheel Hub,2022,10,363,2079.81
0503BA0290N,Front Wheel Hub,2022,11,298,2229.47
0503BA0290N,Front Wheel Hub,2022,12,498,1997.32
0503BA0290N,Front Wheel Hub,2023,1,478,2012.26
0503BA0290N,Front Wheel Hub,2023,2,311,2229.42
0503BA0290N,Front Wheel Hub,2023,3,396,2606.71
0503BA0290N,Front Wheel Hub,2023,4,424,2375.72
0503BA0290N,Front Wheel Hub,2023,5,357,2529.78
0503BA0290N,Front Wheel Hub,2023,6,333,3052.22
0503BA0290N,Front Wheel Hub,2023,7,360,3018.77
0503BA0290N,Front Wheel Hub,2023,8,211,3118.6
0503BA0290N,Front Wheel Hub,2023,9,218,3079.18
0503BA0290N,Front Wheel Hub,2023,10,264,3539.57
0503BA0290N,Front Wheel Hub,2023,11,502,3459.58
0503BA0290N,Front Wheel Hub,2023,12,383,4178.78
0503BA0290N,Front Wheel Hub,2024,1,398,4042.19
0503BA0290N,Front Wheel Hub,2024,2,347,4043.39
0503BA0290N,Front Wheel Hub,2024,3,410,4766.53
0503BA0290N,Front Wheel Hub,2024,4,384,5005.08
0503BA0290N,Front Wheel Hub,2024,5,646,5576.95
0503BA0290N,Front Wheel Hub,2024,6,326,5842.64
0503BA0290N,Front Wheel Hub,2024,7,462,7033.99
0503BA0290N,Front Wheel Hub,2024,8,413,7134.33
0503BA0290N,Front Wheel Hub,2024,9,347,8095.74
0503BA0290N,Front Wheel Hub,2024,10,484,7542.96
0503BA0290N,Front Wheel Hub,2024,11,381,8359.87
0503BA0290N,Front Wheel Hub,2024,12,438,8710.2
0502BA1050N,Alfa Rear Wheel Hub LH,2020,1,209,1383.36
0502BA1050N,Alfa Rear Wheel Hub LH,2020,2,190,1292.41
0502BA1050N,Alfa Rear Wheel Hub LH,2020,3,136,1363.44
0502BA1050N,Alfa Rear Wheel Hub LH,2020,4,160,1333.09
0502BA1050N,Alfa Rear Wheel Hub LH,2020,5,271,1151.45
0502BA1050N,Alfa Rear Wheel Hub LH,2020,6,185,1148.1
0502BA1050N,Alfa Rear Wheel Hub LH,2020,7,175,1026.52
0502BA1050N,Alfa Rear Wheel Hub LH,2020,8,95,929.01
0502BA1050N,Alfa Rear Wheel Hub LH,2020,9,145,1021.3
0502BA1050N,Alfa Rear Wheel Hub LH,2020,10,182,865.12
0502BA1050N,Alfa Rear Wheel Hub LH,2020,11,199,837.61
0502BA1050N,Alfa Rear Wheel Hub LH,2020,12,172,776.8
0502BA1050N,Alfa Rear Wheel Hub LH,2021,1,179,707.96
0502BA1050N,Alfa Rear Wheel Hub LH,2021,2,144,783.37
0502BA1050N,Alfa Rear Wheel Hub LH,2021,3,112,634.75
0502BA1050N,Alfa Rear Wheel Hub LH,2021,4,162,696.81
0502BA1050N,Alfa Rear Wheel Hub LH,2021,5,183,591.7
0502BA1050N,Alfa Rear Wheel Hub LH,2021,6,202,606.64
0502BA1050N,Alfa Rear Wheel Hub LH,2021,7,161,536.15
0502BA1050N,Alfa Rear Wheel Hub LH,2021,8,185,565.53
0502BA1050N,Alfa Rear Wheel Hub LH,2021,9,123,505.45
0502BA1050N,Alfa Rear Wheel Hub LH,2021,10,178,475.24
0502BA1050N,Alfa Rear Wheel Hub LH,2021,11,47,504.78
0502BA1050N,Alfa Rear Wheel Hub LH,2021,12,225,462.04
0502BA1050N,Alfa Rear Wheel Hub LH,2022,1,145,431.78
0502BA1050N,Alfa Rear Wheel Hub LH,2022,2,159,500.83
0502BA1050N,Alfa Rear Wheel Hub LH,2022,3,217,474.38
0502BA1050N,Alfa Rear Wheel Hub LH,2022,4,143,533.21
0502BA1050N,Alfa Rear Wheel Hub LH,2022,5,209,590.43
0502BA1050N,Alfa Rear Wheel Hub LH,2022,6,186,553.42
0502BA1050N,Alfa Rear Wheel Hub LH,2022,7,232,594.27
0502BA1050N,Alfa Rear Wheel Hub LH,2022,8,245,650.11
0502BA1050N,Alfa Rear Wheel Hub LH,2022,9,230,674.67
0502BA1050N,Alfa Rear Wheel Hub LH,2022,10,175,775.1
0502BA1050N,Alfa Rear Wheel Hub LH,2022,11,198,776.97
0502BA1050N,Alfa Rear Wheel Hub LH,2022,12,188,858.02
0502BA1050N,Alfa Rear Wheel Hub LH,2023,1,203,796.27
0502BA1050N,Alfa Rear Wheel Hub LH,2023,2,390,945.43
0502BA1050N,Alfa Rear Wheel Hub LH,2023,3,266,856.87
0502BA1050N,Alfa Rear Wheel Hub LH,2023,4,307,926.14
0502BA1050N,Alfa Rear Wheel Hub LH,2023,5,230,1078.99
0502BA1050N,Alfa Rear Wheel Hub LH,2023,6,191,964.43
0502BA1050N,Alfa Rear Wheel Hub LH,2023,7,271,996.56
0502BA1050N,Alfa Rear Wheel Hub LH,2023,8,249,1258.89
0502BA1050N,Alfa Rear Wheel Hub LH,2023,9,136,1318.63
0502BA1050N,Alfa Rear Wheel Hub LH,2023,10,295,1186.07
0502BA1050N,Alfa Rear Wheel Hub LH,2023,11,209,1269.14
0502BA1050N,Alfa Rear Wheel Hub LH,2023,12,261,1423.9
0502BA1050N,Alfa Rear Wheel Hub LH,2024,1,299,1577.44
0502BA1050N,Alfa Rear Wheel Hub LH,2024,2,258,1646.4
0502BA1050N,Alfa Rear Wheel Hub LH,2024,3,325,1775.6
0502BA1050N,Alfa Rear Wheel Hub LH,2024,4,265,2105.12
0502BA1050N,Alfa Rear Wheel Hub LH,2024,5,241,1915.36
0502BA1050N,Alfa Rear Wheel Hub LH,2024,6,213,2384.74
0502BA1050N,Alfa Rear Wheel Hub LH,2024,7,233,2483.8
0502BA1050N,Alfa Rear Wheel Hub LH,2024,8,260,2609.86
0502BA1050N,Alfa Rear Wheel Hub LH,2024,9,262,2634.05
0502BA1050N,Alfa Rear Wheel Hub LH,2024,10,366,3075.35
0502BA1050N,Alfa Rear Wheel Hub LH,2024,11,357,3361.65
0502BA1050N,Alfa Rear Wheel Hub LH,2024,12,261,3808.04
0502BA1060N,Alfa Rear Wheel Hub RH,2020,1,119,4849.5
0502BA1060N,Alfa Rear Wheel Hub RH,2020,2,109,4620.75
0502BA1060N,Alfa Rear Wheel Hub RH,2020,3,142,4219.3
0502BA1060N,Alfa Rear Wheel Hub RH,2020,4,95,4150.3
0502BA1060N,Alfa Rear Wheel Hub RH,2020,5,163,3728.16
0502BA1060N,Alfa Rear Wheel Hub RH,2020,6,181,3436.78
0502BA1060N,Alfa Rear Wheel Hub RH,2020,7,126,3243.48
0502BA1060N,Alfa Rear Wheel Hub RH,2020,8,94,3191.58
0502BA1060N,Alfa Rear Wheel Hub RH,2020,9,100,3071.27
0502BA1060N,Alfa Rear Wheel Hub RH,2020,10,147,2558.24
0502BA1060N,Alfa Rear Wheel Hub RH,2020,11,107,2558.88
0502BA1060N,Alfa Rear Wheel Hub RH,2020,12,112,2515.7
0502BA1060N,Alfa Rear Wheel Hub RH,2021,1,131,2382.85
0502BA1060N,Alfa Rear Wheel Hub RH,2021,2,144,2184.46
0502BA1060N,Alfa Rear Wheel Hub RH,2021,3,132,2223.28
0502BA1060N,Alfa Rear Wheel Hub RH,2021,4,127,1948.63
0502BA1060N,Alfa Rear Wheel Hub RH,2021,5,116,1802.95
0502BA1060N,Alfa Rear Wheel Hub RH,2021,6,108,1733.54
0502BA1060N,Alfa Rear Wheel Hub RH,2021,7,101,1622.28
0502BA1060N,Alfa Rear Wheel Hub RH,2021,8,123,1783.1
0502BA1060N,Alfa Rear Wheel Hub RH,2021,9,132,1712.63
0502BA1060N,Alfa Rear Wheel Hub RH,2021,10,140,1493.94
0502BA1060N,Alfa Rear Wheel Hub RH,2021,11,115,1566.33
0502BA1060N,Alfa Rear Wheel Hub RH,2021,12,128,1437.17
0502BA1060N,Alfa Rear Wheel Hub RH,2022,1,222,1411.01
0502BA1060N,Alfa Rear Wheel Hub RH,2022,2,160,1627.79
0502BA1060N,Alfa Rear Wheel Hub RH,2022,3,213,1700.73
0502BA1060N,Alfa Rear Wheel Hub RH,2022,4,199,1703.85
0502BA1060N,Alfa Rear Wheel Hub RH,2022,5,141,1585.68
0502BA1060N,Alfa Rear Wheel Hub RH,2022,6,164,1790.85
0502BA1060N,Alfa Rear Wheel Hub RH,2022,7,184,2100.67
0502BA1060N,Alfa Rear Wheel Hub RH,2022,8,119,2090.0
0502BA1060N,Alfa Rear Wheel Hub RH,2022,9,150,2246.14
0502BA1060N,Alfa Rear Wheel Hub RH,2022,10,158,2042.29
0502BA1060N,Alfa Rear Wheel Hub RH,2022,11,199,2128.41
0502BA1060N,Alfa Rear Wheel Hub RH,2022,12,92,2536.1
0502BA1060N,Alfa Rear Wheel Hub RH,2023,1,137,2487.94
0502BA1060N,Alfa Rear Wheel Hub RH,2023,2,165,2863.78
0502BA1060N,Alfa Rear Wheel Hub RH,2023,3,161,2584.35
0502BA1060N,Alfa Rear Wheel Hub RH,2023,4,224,3177.76
0502BA1060N,Alfa Rear Wheel Hub RH,2023,5,194,3061.58
0502BA1060N,Alfa Rear Wheel Hub RH,2023,6,237,3008.73
0502BA1060N,Alfa Rear Wheel Hub RH,2023,7,178,3534.37
0502BA1060N,Alfa Rear Wheel Hub RH,2023,8,198,3855.95
0502BA1060N,Alfa Rear Wheel Hub RH,2023,9,227,3644.01
0502BA1060N,Alfa Rear Wheel Hub RH,2023,10,194,3863.24
0502BA1060N,Alfa Rear Wheel Hub RH,2023,11,188,4069.18
0502BA1060N,Alfa Rear Wheel Hub RH,2023,12,195,4758.57
0502BA1060N,Alfa Rear Wheel Hub RH,2024,1,241,5138.56
0502BA1060N,Alfa Rear Wheel Hub RH,2024,2,175,5049.8
0502BA1060N,Alfa Rear Wheel Hub RH,2024,3,133,6016.69
0502BA1060N,Alfa Rear Wheel Hub RH,2024,4,251,6575.39
0502BA1060N,Alfa Rear Wheel Hub RH,2024,5,227,6614.34
0502BA1060N,Alfa Rear Wheel Hub RH,2024,6,187,7455.99
0502BA1060N,Alfa Rear Wheel Hub RH,2024,7,244,8089.89
0502BA1060N,Alfa Rear Wheel Hub RH,2024,8,213,7512.23
0502BA1060N,Alfa Rear Wheel Hub RH,2024,9,198,8504.72
0502BA1060N,Alfa Rear Wheel Hub RH,2024,10,224,9337.37
0502BA1060N,Alfa Rear Wheel Hub RH,2024,11,247,9400.43
0502BA1060N,Alfa Rear Wheel Hub RH,2024,12,272,9987.78
0602AAB00260N,Brake Drum ALFA,2020,1,134,2462.26
0602AAB00260N,Brake Drum ALFA,2020,2,161,2617.18
0602AAB00260N,Brake Drum ALFA,2020,3,126,2589.89
0602AAB00260N,Brake Drum ALFA,2020,4,240,2111.1
0602AAB00260N,Brake Drum ALFA,2020,5,128,2126.27
0602AAB00260N,Brake Drum ALFA,2020,6,185,2193.55
0602AAB00260N,Brake Drum ALFA,2020,7,164,1904.99
0602AAB00260N,Brake Drum ALFA,2020,8,234,2030.54
0602AAB00260N,Brake Drum ALFA,2020,9,95,1813.59
0602AAB00260N,Brake Drum ALFA,2020,10,167,1634.64
0602AAB00260N,Brake Drum ALFA,2020,11,154,1572.24
0602AAB00260N,Brake Drum ALFA,2020,12,138,1584.46
0602AAB00260N,Brake Drum ALFA,2021,1,118,1446.3
0602AAB00260N,Brake Drum ALFA,2021,2,150,1528.88
0602AAB00260N,Brake Drum ALFA,2021,3,102,1199.48
0602AAB00260N,Brake Drum ALFA,2021,4,115,1307.84
0602AAB00260N,Brake Drum ALFA,2021,5,194,1137.5
0602AAB00260N,Brake Drum ALFA,2021,6,139,1125.31
0602AAB00260N,Brake Drum ALFA,2021,7,145,1069.26
0602AAB00260N,Brake Drum ALFA,2021,8,180,1023.56
0602AAB00260N,Brake Drum ALFA,2021,9,175,985.3
0602AAB00260N,Brake Drum ALFA,2021,10,117,981.6
0602AAB00260N,Brake Drum ALFA,2021,11,165,964.75
0602AAB00260N,Brake Drum ALFA,2021,12,132,849.58
0602AAB00260N,Brake Drum ALFA,2022,1,318,893.69
0602AAB00260N,Brake Drum ALFA,2022,2,164,894.52
0602AAB00260N,Brake Drum ALFA,2022,3,288,905.53
0602AAB00260N,Brake Drum ALFA,2022,4,181,1112.41
0602AAB00260N,Brake Drum ALFA,2022,5,169,1031.94
0602AAB00260N,Brake Drum ALFA,2022,6,302,1225.14
0602AAB00260N,Brake Drum ALFA,2022,7,277,1226.34
0602AAB00260N,Brake Drum ALFA,2022,8,267,1225.54
0602AAB00260N,Brake Drum ALFA,2022,9,155,1405.95
0602AAB00260N,Brake Drum ALFA,2022,10,200,1308.81
0602AAB00260N,Brake Drum ALFA,2022,11,222,1353.91
0602AAB00260N,Brake Drum ALFA,2022,12,230,1624.09
0602AAB00260N,Brake Drum ALFA,2023,1,246,1662.68
0602AAB00260N,Brake Drum ALFA,2023,2,214,1709.61
0602AAB00260N,Brake Drum ALFA,2023,3,142,1785.01
0602AAB00260N,Brake Drum ALFA,2023,4,112,1924.33
0602AAB00260N,Brake Drum ALFA,2023,5,270,1733.5
0602AAB00260N,Brake Drum ALFA,2023,6,172,1960.35
0602AAB00260N,Brake Drum ALFA,2023,7,252,1954.67
0602AAB00260N,Brake Drum ALFA,2023,8,359,2200.96
0602AAB00260N,Brake Drum ALFA,2023,9,202,2471.04
0602AAB00260N,Brake Drum ALFA,2023,10,212,2318.97
0602AAB00260N,Brake Drum ALFA,2023,11,165,2603.56
0602AAB00260N,Brake Drum ALFA,2023,12,218,2458.06
0602AAB00260N,Brake Drum ALFA,2024,1,279,2926.66
0602AAB00260N,Brake Drum ALFA,2024,2,237,3064.01
0602AAB00260N,Brake Drum ALFA,2024,3,292,3488.03
0602AAB00260N,Brake Drum ALFA,2024,4,297,3581.18
0602AAB00260N,Brake Drum ALFA,2024,5,222,4321.82
0602AAB00260N,Brake Drum ALFA,2024,6,212,4670.09
0602AAB00260N,Brake Drum ALFA,2024,7,235,4939.62
0602AAB00260N,Brake Drum ALFA,2024,8,213,5249.04
0602AAB00260N,Brake Drum ALFA,2024,9,396,5696.25
0602AAB00260N,Brake Drum ALFA,2024,10,289,5783.75
0602AAB00260N,Brake Drum ALFA,2024,11,228,6597.22
0602AAB00260N,Brake Drum ALFA,2024,12,328,6530.85
0601AMJ00030N,Brake Drum -TREO,2020,1,209,498.57
0601AMJ00030N,Brake Drum -TREO,2020,2,128,529.8
0601AMJ00030N,Brake Drum -TREO,2020,3,152,471.38
0601AMJ00030N,Brake Drum -TREO,2020,4,148,484.22
0601AMJ00030N,Brake Drum -TREO,2020,5,145,424.41
0601AMJ00030N,Brake Drum -TREO,2020,6,159,407.8
0601AMJ00030N,Brake Drum -TREO,2020,7,148,386.31
0601AMJ00030N,Brake Drum -TREO,2020,8,175,354.66
0601AMJ00030N,Brake Drum -TREO,2020,9,122,342.1
0601AMJ00030N,Brake Drum -TREO,2020,10,134,346.96
0601AMJ00030N,Brake Drum -TREO,2020,11,152,343.88
0601AMJ00030N,Brake Drum -TREO,2020,12,190,296.83
0601AMJ00030N,Brake Drum -TREO,2021,1,100,260.95
0601AMJ00030N,Brake Drum -TREO,2021,2,173,296.35
0601AMJ00030N,Brake Drum -TREO,2021,3,139,283.46
0601AMJ00030N,Brake Drum -TREO,2021,4,177,232.51
0601AMJ00030N,Brake Drum -TREO,2021,5,142,241.46
0601AMJ00030N,Brake Drum -TREO,2021,6,153,240.52
0601AMJ00030N,Brake Drum -TREO,2021,7,201,205.58
0601AMJ00030N,Brake Drum -TREO,2021,8,178,189.33
0601AMJ00030N,Brake Drum -TREO,2021,9,126,185.72
0601AMJ00030N,Brake Drum -TREO,2021,10,119,184.17
0601AMJ00030N,Brake Drum -TREO,2021,11,120,166.27
0601AMJ00030N,Brake Drum -TREO,2021,12,107,176.87
0601AMJ00030N,Brake Drum -TREO,2022,1,249,188.26
0601AMJ00030N,Brake Drum -TREO,2022,2,202,165.77
0601AMJ00030N,Brake Drum -TREO,2022,3,197,196.32
0601AMJ00030N,Brake Drum -TREO,2022,4,185,180.44
0601AMJ00030N,Brake Drum -TREO,2022,5,272,214.28
0601AMJ00030N,Brake Drum -TREO,2022,6,284,238.11
0601AMJ00030N,Brake Drum -TREO,2022,7,194,229.09
0601AMJ00030N,Brake Drum -TREO,2022,8,174,251.8
0601AMJ00030N,Brake Drum -TREO,2022,9,242,233.46
0601AMJ00030N,Brake Drum -TREO,2022,10,154,242.9
0601AMJ00030N,Brake Drum -TREO,2022,11,276,289.11
0601AMJ00030N,Brake Drum -TREO,2022,12,177,314.56
0601AMJ00030N,Brake Drum -TREO,2023,1,179,304.08
0601AMJ00030N,Brake Drum -TREO,2023,2,193,320.15
0601AMJ00030N,Brake Drum -TREO,2023,3,245,363.06
0601AMJ00030N,Brake Drum -TREO,2023,4,223,341.37
0601AMJ00030N,Brake Drum -TREO,2023,5,246,345.82
0601AMJ00030N,Brake Drum -TREO,2023,6,242,425.52
0601AMJ00030N,Brake Drum -TREO,2023,7,206,428.62
0601AMJ00030N,Brake Drum -TREO,2023,8,342,442.7
0601AMJ00030N,Brake Drum -TREO,2023,9,205,453.95
0601AMJ00030N,Brake Drum -TREO,2023,10,244,504.74
0601AMJ00030N,Brake Drum -TREO,2023,11,229,510.54
0601AMJ00030N,Brake Drum -TREO,2023,12,278,538.33
0601AMJ00030N,Brake Drum -TREO,2024,1,309,539.9
0601AMJ00030N,Brake Drum -TREO,2024,2,181,568.13
0601AMJ00030N,Brake Drum -TREO,2024,3,255,703.68
0601AMJ00030N,Brake Drum -TREO,2024,4,308,679.14
0601AMJ00030N,Brake Drum -TREO,2024,5,232,751.5
0601AMJ00030N,Brake Drum -TREO,2024,6,265,873.22
0601AMJ00030N,Brake Drum -TREO,2024,7,429,873.99
0601AMJ00030N,Brake Drum -TREO,2024,8,280,913.16
0601AMJ00030N,Brake Drum -TREO,2024,9,337,969.25
0601AMJ00030N,Brake Drum -TREO,2024,10,286,1068.63
0601AMJ00030N,Brake Drum -TREO,2024,11,273,1347.12
0601AMJ00030N,Brake Drum -TREO,2024,12,298,1221.5
0601AAA00320N,B.D. E-Riksha,2020,1,241,4105.21
0601AAA00320N,B.D. E-Riksha,2020,2,302,3837.1
0601AAA00320N,B.D. E-Riksha,2020,3,411,3433.92
0601AAA00320N,B.D. E-Riksha,2020,4,314,3694.84
0601AAA00320N,B.D. E-Riksha,2020,5,370,3122.29
0601AAA00320N,B.D. E-Riksha,2020,6,305,3255.56
0601AAA00320N,B.D. E-Riksha,2020,7,215,2935.86
0601AAA00320N,B.D. E-Riksha,2020,8,437,2674.84
0601AAA00320N,B.D. E-Riksha,2020,9,319,2519.61
0601AAA00320N,B.D. E-Riksha,2020,10,280,2476.39
0601AAA00320N,B.D. E-Riksha,2020,11,339,2686.79
0601AAA00320N,B.D. E-Riksha,2020,12,112,2364.54
0601AAA00320N,B.D. E-Riksha,2021,1,328,2320.59
0601AAA00320N,B.D. E-Riksha,2021,2,210,1972.95
0601AAA00320N,B.D. E-Riksha,2021,3,229,2001.88
0601AAA00320N,B.D. E-Riksha,2021,4,276,1898.37
0601AAA00320N,B.D. E-Riksha,2021,5,344,1693.31
0601AAA00320N,B.D. E-Riksha,2021,6,398,1691.06
0601AAA00320N,B.D. E-Riksha,2021,7,293,1576.58
0601AAA00320N,B.D. E-Riksha,2021,8,313,1688.97
0601AAA00320N,B.D. E-Riksha,2021,9,342,1528.38
0601AAA00320N,B.D. E-Riksha,2021,10,308,1318.19
0601AAA00320N,B.D. E-Riksha,2021,11,270,1238.04
0601AAA00320N,B.D. E-Riksha,2021,12,384,1303.99
0601AAA00320N,B.D. E-Riksha,2022,1,353,1476.27
0601AAA00320N,B.D. E-Riksha,2022,2,376,1359.46
0601AAA00320N,B.D. E-Riksha,2022,3,332,1549.55
0601AAA00320N,B.D. E-Riksha,2022,4,421,1524.49
0601AAA00320N,B.D. E-Riksha,2022,5,422,1679.77
0601AAA00320N,B.D. E-Riksha,2022,6,458,1662.56
0601AAA00320N,B.D. E-Riksha,2022,7,549,1928.9
0601AAA00320N,B.D. E-Riksha,2022,8,336,2073.88
0601AAA00320N,B.D. E-Riksha,2022,9,464,1941.76
0601AAA00320N,B.D. E-Riksha,2022,10,681,2144.51
0601AAA00320N,B.D. E-Riksha,2022,11,444,1999.42
0601AAA00320N,B.D. E-Riksha,2022,12,461,2525.4
0601AAA00320N,B.D. E-Riksha,2023,1,571,2398.02
0601AAA00320N,B.D. E-Riksha,2023,2,395,2597.92
0601AAA00320N,B.D. E-Riksha,2023,3,354,2517.17
0601AAA00320N,B.D. E-Riksha,2023,4,592,3030.82
0601AAA00320N,B.D. E-Riksha,2023,5,342,3138.54
0601AAA00320N,B.D. E-Riksha,2023,6,374,3371.31
0601AAA00320N,B.D. E-Riksha,2023,7,516,3448.81
0601AAA00320N,B.D. E-Riksha,2023,8,427,3555.62
0601AAA00320N,B.D. E-Riksha,2023,9,408,3679.45
0601AAA00320N,B.D. E-Riksha,2023,10,510,3508.73
0601AAA00320N,B.D. E-Riksha,2023,11,499,4326.05
0601AAA00320N,B.D. E-Riksha,2023,12,473,4221.73
0601AAA00320N,B.D. E-Riksha,2024,1,503,4403.27
0601AAA00320N,B.D. E-Riksha,2024,2,457,4444.51
0601AAA00320N,B.D. E-Riksha,2024,3,537,5610.89
0601AAA00320N,B.D. E-Riksha,2024,4,339,5927.97
0601AAA00320N,B.D. E-Riksha,2024,5,441,5605.96
0601AAA00320N,B.D. E-Riksha,2024,6,631,6568.37
0601AAA00320N,B.D. E-Riksha,2024,7,547,6907.95
0601AAA00320N,B.D. E-Riksha,2024,8,577,7326.18
0601AAA00320N,B.D. E-Riksha,2024,9,593,8536.62
0601AAA00320N,B.D. E-Riksha,2024,10,364,8194.1
0601AAA00320N,B.D. E-Riksha,2024,11,476,9482.42
0601AAA00320N,B.D. E-Riksha,2024,12,435,9862.15
0601AED00170N,Brake Drum E-Rikshaw,2020,1,352,1111.54
0601AED00170N,Brake Drum E-Rikshaw,2020,2,302,1024.92
0601AED00170N,Brake Drum E-Rikshaw,2020,3,274,879.35
0601AED00170N,Brake Drum E-Rikshaw,2020,4,286,925.59
